Episode,Agent Ep NAV,Market Ep NAV,Agent CumSum NAV,Market CumSum NAV,Difference,Strategy Wins (%)
1,0.006842705642777076,0.022187837227225282,0.006842705642777076,0.022187837227225282,-0.015345131584448207,
2,0.2520717777889687,0.10962548214843315,0.2589144834317458,0.13181331937565843,0.14244629564053557,
3,0.19308226261185377,0.15239262259002517,0.4519967460435995,0.2842059419656836,0.040689640021828594,
4,0.013080143824915827,0.1325709742858573,0.46507688986851536,0.4167769162515409,-0.11949083046094146,
5,-0.07370356290355179,0.1712739837207542,0.3913733269649636,0.5880508999722951,-0.244977546624306,
6,-0.2965375430845432,0.06283703707342381,0.09483578388042035,0.6508879370457189,-0.359374580157967,
7,-0.001145502267656588,0.13223683329641078,0.09369028161276377,0.7831247703421297,-0.13338233556406737,
8,0.1499987396768026,-0.10218491351287251,0.24368902128956638,0.6809398568292572,0.2521836531896751,
9,0.17016765112950547,0.20279736556341188,0.41385667241907187,0.883737222392669,-0.032629714433906415,
10,0.02061218832888319,0.12052559893119186,0.43446886074795504,1.004262821323861,-0.09991341060230867,
11,-0.09076523951582617,0.14426669021660055,0.3437036212321289,1.1485295115404615,-0.2350319297324267,
12,0.12005967785173387,0.03400097902690158,0.46376329908386277,1.182530490567363,0.08605869882483229,
13,0.1505439062676358,-0.12943094412980505,0.6143072053514986,1.0530995464375579,0.27997485039744086,
14,0.037042890016468356,0.1698661476394605,0.651350095367967,1.2229656940770184,-0.13282325762299216,
15,-0.031994761987431404,0.1375718657577215,0.6193553333805355,1.3605375598347398,-0.1695666277451529,
16,0.22422102834863225,0.08199502697377437,0.8435763617291677,1.4425325868085142,0.14222600137485789,
17,-0.10519597873941497,0.17634955833735932,0.7383803829897527,1.6188821451458735,-0.2815455370767743,
18,-0.21004244647092768,-0.05852741672287454,0.528337936518825,1.560354728422999,-0.15151502974805314,
19,-0.09300665470195432,0.1274969605189359,0.43533128181687064,1.6878516889419348,-0.2205036152208902,
20,0.017016197401082844,0.14068770397921526,0.4523474792179535,1.82853939292115,-0.12367150657813242,
21,0.07081503058270687,0.1257001480473947,0.5231625098006604,1.9542395409685447,-0.05488511746468784,
22,-0.19644659485182323,0.1583662130118847,0.3267159149488371,2.1126057539804295,-0.35481280786370795,
23,-0.08840146160452332,0.021892763266160076,0.23831445334431378,2.1344985172465893,-0.1102942248706834,
24,-0.055144840264276435,0.1107744338501564,0.18316961308003735,2.2452729510967457,-0.16591927411443283,
25,0.01612060353657223,-0.08897279879312048,0.19929021661660956,2.156300152303625,0.1050934023296927,
26,0.1192159143342623,0.17955715420725382,0.3185061309508719,2.3358573065108788,-0.06034123987299152,
27,0.13859915682113255,0.16816142306043547,0.45710528777200443,2.5040187295713143,-0.029562266239302915,
28,-0.03537373953701872,0.1312325541161341,0.4217315482349857,2.6352512836874484,-0.16660629365315283,
29,-0.12446365154946783,0.41004068348863576,0.2972678966855179,3.0452919671760843,-0.5345043350381036,
30,-0.04150196669125152,-0.0472845416327391,0.2557659299942664,2.9980074255433453,0.005782574941487574,
31,-0.3117342151362963,-0.30429090784816604,-0.055968285142029894,2.6937165176951794,-0.007443307288130252,
32,0.20797503192898245,0.22573751974254153,0.15200674678695256,2.919454037437721,-0.017762487813559075,
33,-0.09066066231193934,-0.12386839054155485,0.06134608447501322,2.795585646896166,0.03320772822961551,
34,0.08847462675018812,0.022187837227225282,0.14982071122520135,2.817773484123391,0.06628678952296284,
35,0.11065900605111713,0.05360133705673309,0.26047971727631847,2.871374821180124,0.05705766899438404,
36,0.19264003676003275,0.06193745184323962,0.4531197540363512,2.933312273023364,0.13070258491679312,
37,0.01663461865246551,0.19552108839986548,0.4697543726888167,3.1288333614232293,-0.17888646974739997,
38,0.04021387011002713,0.20556545977989105,0.5099682427988438,3.3343988212031204,-0.1653515896698639,
39,0.18998294429654228,0.161542678969694,0.6999511870953861,3.4959415001728145,0.02844026532684829,
40,0.020207674062970592,0.10714850020782296,0.7201588611583567,3.6030900003806376,-0.08694082614485237,
41,0.019212930789190646,0.07756588975967693,0.7393717919475473,3.6806558901403146,-0.058352958970486285,
42,0.48141966315974727,-0.12664676924760243,1.2207914551072947,3.554009120892712,0.6080664324073497,
43,0.08575979674786118,0.11737808761484492,1.3065512518551559,3.671387208507557,-0.03161829086698374,
44,0.035666530763923794,-0.06668500315508452,1.3422177826190798,3.6047022053524724,0.10235153391900831,
45,-0.04419521565519272,0.22064939925196492,1.298022566963887,3.825351604604437,-0.26484461490715766,
46,0.06985747286864688,0.12338148720000097,1.367880039832534,3.948733091804438,-0.05352401433135409,
47,0.049904245044670184,0.04497996631693524,1.4177842848772042,3.993713058121373,0.004924278727734946,
48,-0.39805410393979446,-0.071052708232757,1.0197301809374097,3.9226603498886163,-0.32700139570703746,
49,0.05728777145770958,0.14712552066106677,1.0770179523951193,4.069785870549683,-0.08983774920335719,
50,0.14113391162549918,0.298641949567374,1.2181518640206186,4.368427820117057,-0.15750803794187482,
